activity,lap,timestamp,seconds,lat,long,alt,dist,heart,cad
Running,6,2015-07-04T09:54:42.000-07:00,1436028882,37.604864716529846,-122.42222857475281,94.18,2567.037588947032,172,0
Running,6,2015-07-04T09:54:43.000-07:00,1436028883,37.60484528541565,-122.42220461368561,94.09,2570.058163335391,172,0
Running,6,2015-07-04T09:54:44.000-07:00,1436028884,37.60482847690582,-122.42218089103699,95.01,2572.86182371235,172,0
Running,6,2015-07-04T09:54:45.000-07:00,1436028885,37.60481381416321,-122.42215824127197,93.92,2575.438537318265,171,0
Running,6,2015-07-04T09:54:46.000-07:00,1436028886,37.60480260848999,-122.4221361875534,91.78,2577.74655505838,171,0
Running,6,2015-07-04T09:54:47.000-07:00,1436028887,37.60479295253754,-122.42210865020752,90.53,2580.3993953982867,171,0
Running,6,2015-07-04T09:54:48.000-07:00,1436028888,37.60478079319,-122.4220802783966,90.37,2583.2410259726666,171,0
Running,6,2015-07-04T09:54:49.000-07:00,1436028889,37.60476815700531,-122.42205345630646,89.92,2585.9900748057444,171,0
Running,6,2015-07-04T09:54:50.000-07:00,1436028890,37.604755878448486,-122.42202544212341,92.38,2588.8104291720965,171,0
Running,6,2015-07-04T09:54:51.000-07:00,1436028891,37.604743003845215,-122.42199516296387,91.2,2591.837705396508,171,0
Running,6,2015-07-04T09:54:52.000-07:00,1436028892,37.604732155799866,-122.42196130752563,92.43,2595.0548365700847,171,0
Running,6,2015-07-04T09:54:53.000-07:00,1436028893,37.60471951961517,-122.42192876338959,93.74,2598.2475557286207,171,0
Running,6,2015-07-04T09:54:54.000-07:00,1436028894,37.604705691337585,-122.42189753055573,93.67,2601.3994632460763,171,0
Running,6,2015-07-04T09:54:55.000-07:00,1436028895,37.60469055175781,-122.42187404632568,94.77,2604.066658043612,171,0
Running,6,2015-07-04T09:54:56.000-07:00,1436028896,37.6046758890152,-122.42185056209564,92.85,2606.7007085013156,171,0
Running,6,2015-07-04T09:54:57.000-07:00,1436028897,37.604660987854004,-122.42182195186615,93.85,2609.716945443973,171,0
Running,6,2015-07-04T09:54:58.000-07:00,1436028898,37.60464704036713,-122.42179465293884,95.75,2612.5785134766315,171,0
Running,6,2015-07-04T09:54:59.000-07:00,1436028899,37.60463309288025,-122.42176842689514,95.22,2615.3611243976716,171,0
Running,6,2015-07-04T09:55:00.000-07:00,1436028900,37.60461974143982,-122.42174446582794,93.82,2617.9417430197777,170,0
Running,6,2015-07-04T09:55:01.000-07:00,1436028901,37.60460722446442,-122.42171943187714,92.53,2620.5495443185287,170,0
Running,6,2015-07-04T09:55:02.000-07:00,1436028902,37.604594230651855,-122.42168998718262,94.46,2623.518685347894,170,0
Running,6,2015-07-04T09:55:03.000-07:00,1436028903,37.60458159446716,-122.42165672779083,95.84,2626.7681070123353,170,0
Running,6,2015-07-04T09:55:04.000-07:00,1436028904,37.60456824302673,-122.42162382602692,95.11,2630.0246312441595,170,0
Running,6,2015-07-04T09:55:05.000-07:00,1436028905,37.60454845428467,-122.42159080505371,93.68,2633.6720506494103,167,0
Running,6,2015-07-04T09:55:06.000-07:00,1436028906,37.60452616214752,-122.42155683040619,93.6,2637.5581832280836,167,0
